metric,A,B,A_minus_B_mean,CI_low,CI_high,n,A_better_fraction
total_regret,ITAC_K_Full,Greedy,-11034.195226441407,-11464.667094024864,-10603.72335885795,30,1.0
total_regret,ITAC_K_Full,SPI_HCPI,-11001.459815296492,-11721.080558034324,-10281.83907255866,30,1.0
total_regret,ITAC_K_Full,DualControl,-8352.224432589675,-9970.321937628907,-6734.126927550444,30,0.9
total_regret,ITAC_K_Full,ConstrainedBandit,-11738.3863532816,-12646.309162276184,-10830.463544287015,30,1.0
total_regret,ITAC_K_Full,GenericEIG,-11797.611197267215,-12228.298048101131,-11366.9243464333,30,1.0
total_regret,ITAC_K_Full,ITAC_K_NoKinematics,0.0,0.0,0.0,30,0.0
total_regret,ITAC_K_Full,ITAC_K_LocalOnly,-1468.5169930096504,-1882.7312039632043,-1054.3027820560965,30,0.9666666666666667
total_regret,ITAC_K_Full,ITAC_K_GenericVoI_Local,-2199.8441960392092,-2682.489183412899,-1717.1992086655196,30,0.9666666666666667
total_regret,ITAC_K_Full,ITAC_K_UnqualifiedRemote,2776.1048317513855,2230.8720758539193,3321.3375876488517,30,0.0
total_regret,ITAC_K_Full,ITAC_K_NoHysteresis,1648.0577723661524,1205.699863060619,2090.415681671686,30,0.06666666666666667
physical_probes,ITAC_K_Full,Greedy,3683.0666666666666,3599.433410967398,3766.6999223659354,30,0.0
physical_probes,ITAC_K_Full,SPI_HCPI,3643.0666666666666,3559.433410967398,3726.6999223659354,30,0.0
physical_probes,ITAC_K_Full,DualControl,3296.3,3212.911418644856,3379.6885813551444,30,0.0
physical_probes,ITAC_K_Full,ConstrainedBandit,3440.366666666667,3357.2327837652406,3523.500549568093,30,0.0
physical_probes,ITAC_K_Full,GenericEIG,3586.766666666667,3504.311104099327,3669.2222292340066,30,0.0
physical_probes,ITAC_K_Full,ITAC_K_NoKinematics,0.0,0.0,0.0,30,0.0
physical_probes,ITAC_K_Full,ITAC_K_LocalOnly,-720.1666666666666,-807.0145159157214,-633.3188174176119,30,1.0
physical_probes,ITAC_K_Full,ITAC_K_GenericVoI_Local,-816.9333333333333,-900.5665890326021,-733.3000776340645,30,1.0
physical_probes,ITAC_K_Full,ITAC_K_UnqualifiedRemote,1043.2333333333333,940.3775145840776,1146.089152082589,30,0.0
physical_probes,ITAC_K_Full,ITAC_K_NoHysteresis,627.0333333333333,520.3863873209121,733.6802793457545,30,0.0
communication_bytes,ITAC_K_Full,Greedy,23326.933333333334,22533.761625877178,24120.10504078949,30,0.0
communication_bytes,ITAC_K_Full,SPI_HCPI,23326.933333333334,22533.761625877178,24120.10504078949,30,0.0
communication_bytes,ITAC_K_Full,DualControl,23326.933333333334,22533.761625877178,24120.10504078949,30,0.0
communication_bytes,ITAC_K_Full,ConstrainedBandit,23326.933333333334,22533.761625877178,24120.10504078949,30,0.0
communication_bytes,ITAC_K_Full,GenericEIG,23326.933333333334,22533.761625877178,24120.10504078949,30,0.0
communication_bytes,ITAC_K_Full,ITAC_K_NoKinematics,5.066666666666666,-2.133282505891345,12.266615839224677,30,0.0
communication_bytes,ITAC_K_Full,ITAC_K_LocalOnly,14817.466666666667,13939.776598880784,15695.15673445255,30,0.0
communication_bytes,ITAC_K_Full,ITAC_K_GenericVoI_Local,14389.333333333334,13499.768030865635,15278.898635801033,30,0.0
communication_bytes,ITAC_K_Full,ITAC_K_UnqualifiedRemote,-30440.533333333333,-31827.783301598975,-29053.28336506769,30,1.0
communication_bytes,ITAC_K_Full,ITAC_K_NoHysteresis,1631.4666666666667,935.8606515058091,2327.0726818275243,30,0.13333333333333333
bad_aggressive_decisions,ITAC_K_Full,Greedy,164.56666666666666,162.2281918345386,166.90514149879473,30,0.0
bad_aggressive_decisions,ITAC_K_Full,SPI_HCPI,164.66666666666666,162.33921765804243,166.99411567529089,30,0.0
bad_aggressive_decisions,ITAC_K_Full,DualControl,124.7,122.38328337872207,127.01671662127794,30,0.0
bad_aggressive_decisions,ITAC_K_Full,ConstrainedBandit,144.56666666666666,142.2281918345386,146.90514149879473,30,0.0
bad_aggressive_decisions,ITAC_K_Full,GenericEIG,159.56666666666666,157.2281918345386,161.90514149879473,30,0.0
bad_aggressive_decisions,ITAC_K_Full,ITAC_K_NoKinematics,0.0,0.0,0.0,30,0.0
bad_aggressive_decisions,ITAC_K_Full,ITAC_K_LocalOnly,-1.4666666666666666,-2.6341036588895457,-0.29922967444378745,30,0.6
bad_aggressive_decisions,ITAC_K_Full,ITAC_K_GenericVoI_Local,-2.7333333333333334,-4.05236961688229,-1.4142970497843772,30,0.7666666666666667
bad_aggressive_decisions,ITAC_K_Full,ITAC_K_UnqualifiedRemote,26.633333333333333,22.057450773311704,31.209215893354962,30,0.0
bad_aggressive_decisions,ITAC_K_Full,ITAC_K_NoHysteresis,22.6,19.100435718896737,26.099564281103266,30,0.0
recovery_delay_1,ITAC_K_Full,Greedy,,,,30,0.0
recovery_delay_1,ITAC_K_Full,SPI_HCPI,-74.66666666666667,-231.035851410087,81.70251807675366,30,0.1
recovery_delay_1,ITAC_K_Full,DualControl,-72.26666666666667,-112.14139150997192,-32.39194182336141,30,0.43333333333333335
recovery_delay_1,ITAC_K_Full,ConstrainedBandit,-119.75,-247.71821315304783,8.218213153047827,30,0.13333333333333333
recovery_delay_1,ITAC_K_Full,GenericEIG,,,,30,0.0
recovery_delay_1,ITAC_K_Full,ITAC_K_NoKinematics,0.0,0.0,0.0,30,0.0
recovery_delay_1,ITAC_K_Full,ITAC_K_LocalOnly,-2.4,-6.885806753844312,2.0858067538443117,30,0.43333333333333335
recovery_delay_1,ITAC_K_Full,ITAC_K_GenericVoI_Local,-3.9,-7.883689479903357,0.08368947990335673,30,0.4666666666666667
recovery_delay_1,ITAC_K_Full,ITAC_K_UnqualifiedRemote,4.1,0.9768606176807149,7.223139382319284,30,0.16666666666666666
recovery_delay_1,ITAC_K_Full,ITAC_K_NoHysteresis,1.8333333333333333,-1.4323911297511749,5.099057796417841,30,0.3333333333333333
mean_decision_ops,ITAC_K_Full,Greedy,8.468799999999998,8.390660773660873,8.546939226339124,30,0.0
mean_decision_ops,ITAC_K_Full,SPI_HCPI,5.468799999999999,5.390660773660873,5.546939226339125,30,0.0
mean_decision_ops,ITAC_K_Full,DualControl,2.4688,2.3906607736608736,2.546939226339126,30,0.0
mean_decision_ops,ITAC_K_Full,ConstrainedBandit,2.4688,2.3906607736608736,2.546939226339126,30,0.0
mean_decision_ops,ITAC_K_Full,GenericEIG,-0.5312,-0.6093392263391263,-0.4530607736608738,30,1.0
mean_decision_ops,ITAC_K_Full,ITAC_K_NoKinematics,5.9259259259232995e-05,-2.4950672583513464e-05,0.00014346919110197945,30,0.0
mean_decision_ops,ITAC_K_Full,ITAC_K_LocalOnly,-0.4451851851851852,-0.525639190408625,-0.3647311799617454,30,1.0
mean_decision_ops,ITAC_K_Full,ITAC_K_GenericVoI_Local,-0.5312,-0.6093392263391263,-0.4530607736608738,30,1.0
mean_decision_ops,ITAC_K_Full,ITAC_K_UnqualifiedRemote,0.552474074074074,0.4571996149366327,0.6477485332115154,30,0.0
mean_decision_ops,ITAC_K_Full,ITAC_K_NoHysteresis,0.5755555555555555,0.47870074169113885,0.6724103694199721,30,0.0
