scenario,algorithm,seed,total_regret,mean_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,aggressive_decisions,policy_switches,recovery_delay_1,recovery_delay_2,total_decision_ops,mean_decision_ops,information_gain,information_per_probe,information_per_regret,max_state_count
baseline_adversarial,Greedy,0,28926.688762605478,6.428153058356773,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,0,24173.197570354256,5.371821682300946,40,0,0,9,1568,19,9.0,0.0,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,0,28281.147328003837,6.2846994062230745,444,0,0,50,1472,453,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,0,31047.070980099357,6.899349106688746,230,0,0,30,1036,330,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,0,29709.08670631251,6.602019268069447,104,0,0,15,1080,175,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,0,18788.85179990267,4.175300399978371,3918,287,28196,173,2930,711,6.0,0.0,52820,11.737777777777778,54.41521810778053,0.01388851916992867,0.0028961438776190897,19
baseline_adversarial,ITAC_K_LocalOnly,0,19346.61528941041,4.299247842091202,4446,0,7980,170,2882,714,9.0,0.0,53784,11.952,55.28648343308968,0.012435106485175366,0.0028576824734480233,19
baseline_adversarial,ITAC_K_GenericVoI_Local,0,18821.443359719524,4.182542968826561,4500,0,7904,170,2956,684,9.0,0.0,54000,12.0,55.25634233475577,0.012279187185501283,0.0029358185383917975,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,0,15480.552515686242,3.4401227812636095,2711,612,50464,149,3117,608,3.0,0.0,49292,10.953777777777777,50.49715846733598,0.01862676446600368,0.003261973913151218,19
baseline_adversarial,ITAC_K_NoKinematics,0,18788.85179990267,4.175300399978371,3918,287,28196,173,2930,711,6.0,0.0,52820,11.737777777777778,54.41521810778053,0.01388851916992867,0.0028961438776190897,19
baseline_adversarial,ITAC_K_NoHysteresis,0,16911.983751913747,3.7582186115363885,3438,243,25004,149,3019,617,17.0,0.0,50724,11.272,56.16481666160476,0.016336479540897255,0.0033210070140499747,19
baseline_adversarial,Greedy,1,28855.274114038508,6.412283136453001,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,1,29304.913838294557,6.5122030751765685,40,0,0,10,1060,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,1,28892.195083354338,6.420487796300964,354,0,0,50,1357,450,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,1,30947.710880164086,6.877269084480908,225,0,0,30,1031,351,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,1,29590.95784368849,6.575768409708553,92,0,0,15,1080,172,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,1,19005.105595219975,4.223356798937772,3692,225,23864,173,2914,703,18.0,0.0,51668,11.481777777777777,53.09113772990226,0.01438004813919346,0.0027935197446761545,19
baseline_adversarial,ITAC_K_LocalOnly,1,19777.69286535161,4.395042858967025,4434,0,7448,172,2844,753,4.0,0.0,53736,11.941333333333333,52.84360464841815,0.011917817918001387,0.002671879122007929,19
baseline_adversarial,ITAC_K_GenericVoI_Local,1,19322.723376492675,4.293938528109483,4500,0,7828,168,2849,681,4.0,0.0,54000,12.0,54.42608573753537,0.012094685719452304,0.002816688138471628,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,1,15021.031762912005,3.33800705842489,2694,656,54948,157,3173,605,1.0,0.0,49400,10.977777777777778,50.55516983584148,0.018765838840327204,0.003365625653003796,19
baseline_adversarial,ITAC_K_NoKinematics,1,19005.105595219975,4.223356798937772,3692,224,23788,173,2914,703,18.0,0.0,51664,11.480888888888888,53.09128425028549,0.014380087825104412,0.002793527454203602,19
baseline_adversarial,ITAC_K_NoHysteresis,1,15945.794251550045,3.543509833677788,3232,216,22952,157,3136,620,4.0,0.0,49792,11.06488888888889,53.933444530719555,0.01668732813450481,0.003382299036341626,19
baseline_adversarial,Greedy,2,28868.4837768755,6.415218617083444,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,2,29282.336766319855,6.507185948071079,40,0,0,10,1067,18,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,2,31595.46615976092,7.021214702169093,362,0,0,50,1090,440,,167.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,2,31054.394523525127,6.900976560783361,244,0,0,30,1034,365,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,2,29605.9558771302,6.579101306028933,95,0,0,15,1080,172,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,2,18123.334791632966,4.027407731473993,3713,255,26448,168,2934,660,2.0,0.0,51872,11.527111111111111,58.92345172166395,0.015869499521051426,0.003251247764228648,19
baseline_adversarial,ITAC_K_LocalOnly,2,19749.708997931903,4.388824221762645,4486,0,8512,166,2792,691,3.0,0.0,53944,11.987555555555556,60.06744435641057,0.013389978679538691,0.003041434401018291,19
baseline_adversarial,ITAC_K_GenericVoI_Local,2,20159.482725132933,4.479885050029541,4500,0,8892,168,2759,659,3.0,0.0,54000,12.0,60.16129877129485,0.01336917750473219,0.002984267979073265,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,2,15012.484002709054,3.3361075561575677,2717,631,52364,148,3142,595,0.0,0.0,49392,10.976,54.88941643464454,0.020202214366818013,0.0036562514521074297,19
baseline_adversarial,ITAC_K_NoKinematics,2,18123.334791632966,4.027407731473993,3713,255,26448,168,2934,660,2.0,0.0,51872,11.527111111111111,58.92345172166395,0.015869499521051426,0.003251247764228648,19
baseline_adversarial,ITAC_K_NoHysteresis,2,15268.25137635583,3.3929447503012957,3056,201,22040,144,3137,561,0.0,0.0,49028,10.895111111111111,60.315473459022904,0.019736738697324247,0.003950385147078891,19
baseline_adversarial,Greedy,3,28790.312871216476,6.397847304714772,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,3,29180.2335520536,6.4844963449008,40,0,0,10,1068,18,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,3,24715.584214883034,5.492352047751785,375,0,0,50,1740,446,147.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,3,30959.450848904737,6.879877966423275,264,0,0,30,1046,335,,239.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,3,29557.265564020432,6.568281236448985,92,0,0,15,1082,164,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,3,18098.96810287421,4.021992911749824,3437,190,21812,173,3022,669,8.0,0.0,50508,11.224,58.98526123653875,0.017161844991719157,0.003259040012738162,19
baseline_adversarial,ITAC_K_LocalOnly,3,19740.14898024001,4.386699773386669,4356,0,9576,179,2889,710,9.0,0.0,53424,11.872,59.62127823121483,0.013687162128378061,0.0030203053832519723,19
baseline_adversarial,ITAC_K_GenericVoI_Local,3,20468.177017489466,4.548483781664326,4500,0,9880,179,2834,694,9.0,0.0,54000,12.0,60.08580529709099,0.013352401177131332,0.002935571900015786,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,3,14852.188943755842,3.3004864319457425,2655,637,54796,149,3185,592,0.0,0.0,49168,10.926222222222222,54.846615461621774,0.02065785893093099,0.003692830441985482,19
baseline_adversarial,ITAC_K_NoKinematics,3,18098.96810287421,4.021992911749824,3437,190,21812,173,3022,669,8.0,0.0,50508,11.224,58.98526123653875,0.017161844991719157,0.003259040012738162,19
baseline_adversarial,ITAC_K_NoHysteresis,3,16918.433702437982,3.7596519338751073,2899,175,20824,150,3036,605,0.0,0.0,48296,10.732444444444445,59.586893689208814,0.020554292407453885,0.0035220100593958774,19
baseline_adversarial,Greedy,4,28905.507619702126,6.423446137711584,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,4,29247.57947266363,6.499462105036362,40,0,0,10,1073,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,4,30000.416136969507,6.66675914154878,402,0,0,50,1264,450,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,4,31026.640265250684,6.894808947833486,238,0,0,30,1036,342,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,4,29642.218516359055,6.587159670302012,88,0,0,15,1080,170,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,4,17998.1849202861,3.999596648952467,3971,193,21736,171,3017,734,1.0,0.0,52656,11.701333333333332,57.40552712974092,0.014456189153800281,0.0031895175754660704,19
baseline_adversarial,ITAC_K_LocalOnly,4,20352.888832438326,4.522864184986295,4443,0,8132,173,2829,759,5.0,0.0,53772,11.949333333333334,57.38011685065295,0.012914723576559296,0.0028192615467540327,19
baseline_adversarial,ITAC_K_GenericVoI_Local,4,19722.278619454373,4.382728582100972,4500,0,8512,178,2924,711,2.0,0.0,54000,12.0,57.940441799080546,0.01287565373312901,0.002937816817065304,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,4,14199.880717882226,3.1555290484182725,2652,616,52136,140,3197,626,0.0,0.0,49072,10.90488888888889,54.51985009181905,0.02055801285513539,0.003839458314826616,19
baseline_adversarial,ITAC_K_NoKinematics,4,17998.1849202861,3.999596648952467,3971,193,21736,171,3017,734,1.0,0.0,52656,11.701333333333332,57.40552712974092,0.014456189153800281,0.0031895175754660704,19
baseline_adversarial,ITAC_K_NoHysteresis,4,16036.451864649955,3.563655969922212,2859,142,17176,146,3135,644,0.0,0.0,48004,10.667555555555555,58.465477025755554,0.02044962470295752,0.0036457863322393817,19
baseline_adversarial,Greedy,5,28974.80940780991,6.438846535068869,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,5,29299.904847505837,6.511089966112408,40,0,0,10,1075,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,5,26727.45182996342,5.939433739991871,414,0,0,50,1595,449,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,5,26136.47424083004,5.80810538685112,229,0,0,30,1529,329,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,5,29778.09221695431,6.617353825989846,108,0,0,15,1081,175,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,5,16054.056042057451,3.5675680093461004,3456,208,22040,162,3174,626,4.0,0.0,50656,11.25688888888889,59.321413062562854,0.017164760724121195,0.0036951043964937075,19
baseline_adversarial,ITAC_K_LocalOnly,5,18579.130524495515,4.128695672110115,4450,0,8588,163,2962,713,4.0,0.0,53800,11.955555555555556,58.81620048892641,0.013217123705376721,0.003165713293815372,19
baseline_adversarial,ITAC_K_GenericVoI_Local,5,20945.55870434069,4.6545686009645975,4500,0,9044,166,2749,677,4.0,0.0,54000,12.0,58.977228869465094,0.013106050859881133,0.002815739112141365,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,5,15361.308666784178,3.4136241481742617,2713,629,52820,135,3096,607,1.0,0.0,49368,10.970666666666666,54.623641274979,0.02013403659232547,0.003555923682016229,19
baseline_adversarial,ITAC_K_NoKinematics,5,16054.056042057451,3.5675680093461004,3456,208,22040,162,3174,626,4.0,0.0,50656,11.25688888888889,59.321413062562854,0.017164760724121195,0.0036951043964937075,19
baseline_adversarial,ITAC_K_NoHysteresis,5,13934.306133530725,3.096512474117939,2864,146,18544,142,3323,585,4.0,0.0,48040,10.675555555555556,59.611889002269336,0.02081420705386499,0.004278066552508321,19
baseline_adversarial,Greedy,6,28800.47227384967,6.400104949744371,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,6,29436.507987327976,6.541446219406216,40,0,0,10,1041,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,6,29128.887808036347,6.473086179563633,402,0,0,50,1354,476,,37.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,6,30999.478263775934,6.888772947505763,258,0,0,30,1037,353,,243.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,6,29582.569802695518,6.573904400599004,100,0,0,15,1079,182,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,6,17419.337386459065,3.87096386365757,3704,236,25080,188,3106,685,2.0,0.0,51760,11.502222222222223,57.053233380262284,0.015403140761409905,0.0032752814940373485,19
baseline_adversarial,ITAC_K_LocalOnly,6,20564.096925030088,4.569799316673353,4476,0,8360,191,2856,716,4.0,0.0,53904,11.978666666666667,57.367769665436406,0.012816749255012602,0.0027897052749060835,19
baseline_adversarial,ITAC_K_GenericVoI_Local,6,21266.21755869723,4.72582612415494,4500,0,8740,189,2793,702,4.0,0.0,54000,12.0,58.42766748435027,0.012983926107633393,0.0027474405038452714,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,6,15869.783773329402,3.5266186162954227,2701,619,52744,166,3141,621,0.0,0.0,49280,10.95111111111111,53.04485295623434,0.019638968143737258,0.003342506345006476,19
baseline_adversarial,ITAC_K_NoKinematics,6,17419.337386459065,3.87096386365757,3704,236,25080,188,3106,685,2.0,0.0,51760,11.502222222222223,57.053233380262284,0.015403140761409905,0.0032752814940373485,19
baseline_adversarial,ITAC_K_NoHysteresis,6,16766.04088286778,3.7257868628595063,3199,246,23940,177,3163,635,2.0,0.0,49780,11.062222222222223,57.74438270214172,0.01805076045706212,0.003444127513797683,19
baseline_adversarial,Greedy,7,28802.02748589941,6.4004505524220905,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,7,29138.012720476643,6.475113937883698,40,0,0,10,1075,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,7,31646.253425370673,7.032500761193483,371,0,0,50,1083,438,,174.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,7,30811.880040399,6.847084453422,209,0,0,30,1038,325,,,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,7,29559.30244258446,6.56873387612988,105,0,0,15,1080,181,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,7,18639.615295975538,4.142136732439009,3712,229,23712,181,2984,677,2.0,0.0,51764,11.503111111111112,56.263121869294494,0.01515709102082287,0.003018470122687683,19
baseline_adversarial,ITAC_K_LocalOnly,7,17456.87997546024,3.879306661213387,4470,0,8588,184,3132,686,2.0,0.0,53880,11.973333333333333,57.70130787594178,0.012908569994617848,0.0033053620095374755,19
