scenario,algorithm,total_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,recovery_delay_1,recovery_delay_2
baseline_adversarial,ConstrainedBandit,29574.209634408086,242.7,0.0,0.0,30.0,120.0,77.75
baseline_adversarial,DualControl,26188.047713716165,386.76666666666665,0.0,0.0,49.86666666666667,78.86666666666666,19.06896551724138
baseline_adversarial,GenericEIG,29633.4344783937,96.3,0.0,0.0,15.0,,
baseline_adversarial,Greedy,28870.018507567893,0.0,0.0,0.0,10.0,,
baseline_adversarial,ITAC_K_Full,17835.82328112649,3683.0666666666666,219.33333333333334,23326.933333333334,174.56666666666666,5.0,0.0
baseline_adversarial,ITAC_K_GenericVoI_Local,20035.667477165698,4500.0,0.0,8937.6,177.3,8.9,0.0
baseline_adversarial,ITAC_K_LocalOnly,19304.34027413614,4403.233333333334,0.0,8509.466666666667,176.03333333333333,7.4,0.0
baseline_adversarial,ITAC_K_NoHysteresis,16187.765508760336,3056.0333333333333,198.86666666666667,21695.466666666667,151.96666666666667,3.1666666666666665,0.0
baseline_adversarial,ITAC_K_NoKinematics,17835.82328112649,3683.0666666666666,219.26666666666668,23321.866666666665,174.56666666666666,5.0,0.0
baseline_adversarial,ITAC_K_UnqualifiedRemote,15059.718449375103,2639.8333333333335,641.0333333333333,53767.46666666667,147.93333333333334,0.9,0.0
baseline_adversarial,SPI_HCPI,28837.283096422976,40.0,0.0,0.0,9.9,78.0,0.0
fast_shock,ConstrainedBandit,14710.345307251704,225.23333333333332,0.0,0.0,31.0,20.333333333333332,0.0
fast_shock,DualControl,19298.29273777241,375.6333333333333,0.0,0.0,53.333333333333336,23.964285714285715,2.3
fast_shock,GenericEIG,33757.20051064261,99.93333333333334,0.0,0.0,15.0,,
fast_shock,Greedy,32981.92527372791,0.0,0.0,0.0,10.0,,
fast_shock,ITAC_K_Full,18382.05622476065,3486.4,219.1,23045.733333333334,162.0,1.7333333333333334,0.0
fast_shock,ITAC_K_GenericVoI_Local,22559.23404897696,4500.0,0.0,8314.4,166.4,2.7333333333333334,0.0
fast_shock,ITAC_K_LocalOnly,20962.892558036805,4338.9,0.0,8012.933333333333,165.5,2.5,0.0
fast_shock,ITAC_K_NoHysteresis,16812.35008927863,2968.633333333333,204.7,21951.333333333332,137.83333333333334,2.533333333333333,0.0
fast_shock,ITAC_K_NoKinematics,18325.663243361887,3474.9666666666667,219.03333333333333,23038.133333333335,162.0,1.7333333333333334,0.0
fast_shock,ITAC_K_UnqualifiedRemote,11530.550611917188,2202.0,633.1333333333333,50846.53333333333,41.03333333333333,4.266666666666667,0.0
fast_shock,SPI_HCPI,29434.170954329034,40.0,0.0,0.0,8.733333333333333,45.0,18.235294117647058
high_node_heterogeneity,ConstrainedBandit,29239.282811203335,247.0,0.0,0.0,30.0,148.0,85.21739130434783
high_node_heterogeneity,DualControl,25399.747612334446,397.1,0.0,0.0,49.86666666666667,73.5,15.6
high_node_heterogeneity,GenericEIG,29503.906969329437,101.63333333333334,0.0,0.0,15.0,,40.5
high_node_heterogeneity,Greedy,28855.749754762368,0.0,0.0,0.0,10.3,,
high_node_heterogeneity,ITAC_K_Full,17507.19124257247,3629.9333333333334,209.93333333333334,23656.266666666666,174.2,5.7,0.0
high_node_heterogeneity,ITAC_K_GenericVoI_Local,20177.462164656703,4499.933333333333,0.0,10102.933333333332,175.8,3.8,0.0
high_node_heterogeneity,ITAC_K_LocalOnly,19162.46588474722,4359.833333333333,0.0,9641.866666666667,173.46666666666667,3.7666666666666666,0.0
high_node_heterogeneity,ITAC_K_NoHysteresis,16463.59963156389,3092.8333333333335,189.6,21839.866666666665,152.7,3.3333333333333335,0.0
high_node_heterogeneity,ITAC_K_NoKinematics,17507.19124257247,3629.9333333333334,209.86666666666667,23651.2,174.2,5.7,0.0
high_node_heterogeneity,ITAC_K_UnqualifiedRemote,14178.553384906776,2304.266666666667,740.4666666666667,62244.0,137.83333333333334,0.7333333333333333,0.0
high_node_heterogeneity,SPI_HCPI,29785.34861184428,36.766666666666666,0.0,0.0,9.033333333333333,72.25,49.0
long_shock,ConstrainedBandit,25097.989924224312,233.46666666666667,0.0,0.0,34.63333333333333,84.88888888888889,0.0
long_shock,DualControl,21264.55216946612,385.8666666666667,0.0,0.0,55.666666666666664,74.96,0.0
long_shock,GenericEIG,24740.138640216126,93.46666666666667,0.0,0.0,15.0,,
long_shock,Greedy,23989.943725265795,0.0,0.0,0.0,10.0,,
long_shock,ITAC_K_Full,19231.72479809539,3941.7,226.1,24152.8,215.6,14.666666666666666,0.0
long_shock,ITAC_K_GenericVoI_Local,19131.280702173488,4500.0,0.0,9449.333333333334,217.13333333333333,13.0,0.0
long_shock,ITAC_K_LocalOnly,19268.718713683542,4476.566666666667,0.0,9117.466666666667,216.93333333333334,17.8,0.0
long_shock,ITAC_K_NoHysteresis,16579.362500585223,3438.766666666667,211.73333333333332,23192.666666666668,198.23333333333332,7.966666666666667,0.0
long_shock,ITAC_K_NoKinematics,19231.72479809539,3941.7,225.96666666666667,24142.666666666668,215.6,14.666666666666666,0.0
long_shock,ITAC_K_UnqualifiedRemote,18502.031481567534,3092.5666666666666,669.4333333333333,56009.46666666667,213.5,6.766666666666667,0.0
long_shock,SPI_HCPI,23546.903753803592,40.0,0.0,0.0,9.333333333333334,79.8,0.0
noisy_sensor,ConstrainedBandit,22229.58012630547,464.9,0.0,0.0,29.233333333333334,56.82142857142857,2.6333333333333333
noisy_sensor,DualControl,17820.025292994786,649.7666666666667,0.0,0.0,48.43333333333333,26.566666666666666,0.0
noisy_sensor,GenericEIG,28318.672743325547,194.26666666666668,0.0,0.0,15.3,84.0,45.72727272727273
noisy_sensor,Greedy,28462.782649243516,0.0,0.0,0.0,10.933333333333334,93.0909090909091,40.1764705882353
noisy_sensor,ITAC_K_Full,19147.158528233584,3781.5666666666666,382.76666666666665,72483.73333333334,114.66666666666667,3.566666666666667,0.0
noisy_sensor,ITAC_K_GenericVoI_Local,20959.223612119004,4500.0,0.0,44520.8,119.46666666666667,4.333333333333333,0.0
noisy_sensor,ITAC_K_LocalOnly,20477.135163118328,4447.433333333333,0.0,53970.13333333333,117.6,3.1,0.0
noisy_sensor,ITAC_K_NoHysteresis,19064.351238846106,3585.866666666667,318.8,64622.8,114.36666666666666,3.8333333333333335,0.0
noisy_sensor,ITAC_K_NoKinematics,19058.96539987732,3782.2,382.8333333333333,72719.33333333333,114.73333333333333,3.566666666666667,0.0
noisy_sensor,ITAC_K_UnqualifiedRemote,16952.26641321394,1584.8666666666666,2062.8,172958.26666666666,86.46666666666667,2.1,0.0
noisy_sensor,SPI_HCPI,30326.299315313667,40.0,0.0,0.0,9.8,63.666666666666664,4.2
peer_mismatch,ConstrainedBandit,29187.497634268446,254.46666666666667,0.0,0.0,30.033333333333335,141.33333333333334,77.31818181818181
peer_mismatch,DualControl,24732.55094095651,396.6333333333333,0.0,0.0,49.93333333333333,94.91304347826087,6.035714285714286
peer_mismatch,GenericEIG,29133.12345583605,107.0,0.0,0.0,15.0,134.0,34.6
peer_mismatch,Greedy,28763.34119467814,0.0,0.0,0.0,10.633333333333333,,
peer_mismatch,ITAC_K_Full,17157.6094391153,3695.9,174.8,23506.8,169.96666666666667,3.566666666666667,0.0
peer_mismatch,ITAC_K_GenericVoI_Local,19570.91560552824,4500.0,0.0,13525.466666666667,176.5,5.166666666666667,0.0
peer_mismatch,ITAC_K_LocalOnly,18669.52862729424,4266.6,0.0,12306.933333333332,171.76666666666668,5.933333333333334,0.0
peer_mismatch,ITAC_K_NoHysteresis,16605.375320154577,3215.9333333333334,162.4,22110.933333333334,154.26666666666668,3.6666666666666665,0.0
peer_mismatch,ITAC_K_NoKinematics,17157.6094391153,3695.8,174.7,23496.666666666668,169.96666666666667,3.566666666666667,0.0
peer_mismatch,ITAC_K_UnqualifiedRemote,14802.128863419744,1908.2333333333333,875.4666666666667,74373.6,131.66666666666666,1.2666666666666666,0.0
peer_mismatch,SPI_HCPI,30619.006479909705,32.3,0.0,0.0,7.833333333333333,78.0,0.0
rapid_oscillation,ConstrainedBandit,25477.360848872915,251.86666666666667,0.0,0.0,39.8,13.125,42.8
rapid_oscillation,DualControl,12898.1189023783,324.4,0.0,0.0,64.8,13.555555555555555,0.0
rapid_oscillation,GenericEIG,27823.979930140762,98.33333333333333,0.0,0.0,15.1,9.0,57.10344827586207
rapid_oscillation,Greedy,37915.53101579958,0.0,0.0,0.0,10.0,,
rapid_oscillation,ITAC_K_Full,17399.79507052753,2944.3333333333335,207.06666666666666,23717.066666666666,151.4,0.4,0.0
rapid_oscillation,ITAC_K_GenericVoI_Local,23401.699550120476,4500.0,0.0,10457.6,159.6,1.3666666666666667,0.0
rapid_oscillation,ITAC_K_LocalOnly,22069.398354431138,4235.633333333333,0.0,10358.8,159.56666666666666,1.3,0.0
rapid_oscillation,ITAC_K_NoHysteresis,15655.4879525617,2565.9333333333334,209.43333333333334,23912.133333333335,127.23333333333333,0.23333333333333334,0.0
rapid_oscillation,ITAC_K_NoKinematics,17399.79507052753,2944.3333333333335,206.96666666666667,23709.466666666667,151.4,0.4,0.0
rapid_oscillation,ITAC_K_UnqualifiedRemote,13003.84405693915,1676.6666666666667,751.2333333333333,60779.73333333333,39.53333333333333,8.173913043478262,0.0
rapid_oscillation,SPI_HCPI,28709.13053279644,40.0,0.0,0.0,7.433333333333334,14.333333333333334,39.41379310344828
violent_shock,ConstrainedBandit,7066.730876521961,185.03333333333333,0.0,0.0,25.166666666666668,4.5,0.0
violent_shock,DualControl,8789.141510300607,278.1333333333333,0.0,0.0,47.43333333333333,3.933333333333333,0.0
violent_shock,GenericEIG,39090.46957534778,105.83333333333333,0.0,0.0,10.0,,
violent_shock,Greedy,38160.341819813904,0.0,0.0,0.0,5.0,,
violent_shock,ITAC_K_Full,17487.08813519949,2988.266666666667,90.53333333333333,12339.866666666667,49.53333333333333,0.0,0.0
violent_shock,ITAC_K_GenericVoI_Local,26757.824577097177,4499.366666666667,0.0,8719.733333333334,90.4,0.0,0.0
violent_shock,ITAC_K_LocalOnly,25107.550682099103,4195.266666666666,0.0,8962.933333333332,88.8,0.0,0.0
