algorithm,total_regret,total_regret_CI_low,total_regret_CI_high,physical_probes,physical_probes_CI_low,physical_probes_CI_high,remote_substitutions,remote_substitutions_CI_low,remote_substitutions_CI_high,communication_bytes,communication_bytes_CI_low,communication_bytes_CI_high,bad_aggressive_decisions,bad_aggressive_decisions_CI_low,bad_aggressive_decisions_CI_high,policy_switches,policy_switches_CI_low,policy_switches_CI_high,recovery_delay_1,recovery_delay_1_CI_low,recovery_delay_1_CI_high,recovery_delay_2,recovery_delay_2_CI_low,recovery_delay_2_CI_high,mean_decision_ops,mean_decision_ops_CI_low,mean_decision_ops_CI_high,information_gain,information_gain_CI_low,information_gain_CI_high,information_per_probe,information_per_probe_CI_low,information_per_probe_CI_high,information_per_regret,information_per_regret_CI_low,information_per_regret_CI_high,max_state_count,max_state_count_CI_low,max_state_count_CI_high
ITAC_K_UnqualifiedRemote,15059.718449375103,14697.082279252249,15422.354619497957,2639.8333333333335,2578.9991396261994,2700.6675270404676,641.0333333333333,627.6331691607536,654.433497505913,53767.46666666667,52715.80394152617,54819.12939180717,147.93333333333334,143.60091943583822,152.26574723082845,595.7,580.3923427439853,611.0076572560148,0.9,0.426149991844719,1.373850008155281,0.0,0.0,0.0,10.916325925925925,10.861158751508187,10.971493100343663,53.877751197516275,52.74346781238042,55.01203458265213,0.020548638039229624,0.01959557417710004,0.021501701901359208,0.003601392766170074,0.003447153244011966,0.003755632288328182,19.0,19.0,19.0
ITAC_K_NoHysteresis,16187.765508760336,15719.81102990622,16655.71998761445,3056.0333333333333,2935.1612506162983,3176.9054160503683,198.86666666666667,186.66730519434202,211.06602813899133,21695.466666666667,20792.349547980983,22598.58378535235,151.96666666666667,147.93363797705922,155.99969535627412,600.3,582.9027199613859,617.697280038614,3.1666666666666665,1.5022712287351145,4.831062104598218,0.0,0.0,0.0,10.893244444444445,10.783095544536152,11.003393344352737,58.73605484458481,57.49422266783908,59.97788702133053,0.01949016320549946,0.01845467670780899,0.020525649703189926,0.0036595230288535233,0.0034940123494610594,0.0038250337082459873,19.0,19.0,19.0
ITAC_K_NoKinematics,17835.82328112649,17409.29067649255,18262.35588576043,3683.0666666666666,3599.433410967398,3766.6999223659354,219.26666666666668,208.6271635296087,229.90616980372465,23321.866666666665,22528.316912777984,24115.416420555346,174.56666666666666,172.2281918345386,176.90514149879473,687.6,674.7208570285364,700.4791429714636,5.0,1.9443256760631624,8.055674323936838,0.0,0.0,0.0,11.46874074074074,11.390592193402364,11.546889288079116,57.47748915200302,56.36097330751612,58.594004996489915,0.015687840736659353,0.01511125798902144,0.016264423484297266,0.003241268596200542,0.0031153997659264985,0.0033671374264745853,19.0,19.0,19.0
ITAC_K_Full,17835.82328112649,17409.29067649255,18262.35588576043,3683.0666666666666,3599.433410967398,3766.6999223659354,219.33333333333334,208.70133440369682,229.96533226296987,23326.933333333334,22533.761625877178,24120.10504078949,174.56666666666666,172.2281918345386,176.90514149879473,687.6,674.7208570285364,700.4791429714636,5.0,1.9443256760631624,8.055674323936838,0.0,0.0,0.0,11.468799999999998,11.390660773660873,11.546939226339124,57.47750178621327,56.36098049349695,58.59402307892958,0.015687844420432705,0.015111259890442206,0.016264428950423206,0.0032412693744787694,0.0031154001448944514,0.0033671386040630873,19.0,19.0,19.0
ITAC_K_LocalOnly,19304.34027413613,18914.348785177677,19694.331763094586,4403.233333333334,4372.618005734162,4433.8486609325055,0.0,0.0,0.0,8509.466666666667,8109.967954625033,8908.965378708303,176.03333333333333,173.33089013841393,178.73577652825273,719.9333333333333,707.9879857350509,731.8786809316157,7.4,2.7520619893053153,12.047938010694686,0.0,0.0,0.0,11.913985185185185,11.886771560652587,11.941198809717783,58.12231810185436,57.051319750149936,59.193316453558786,0.013205560005063878,0.012935518960932656,0.0134756010491951,0.0030219371705361192,0.002926077745923039,0.0031177965951491994,19.0,19.0,19.0
ITAC_K_GenericVoI_Local,20035.667477165698,19593.732274553207,20477.60267977819,4500.0,4500.0,4500.0,0.0,0.0,0.0,8937.6,8549.303063066089,9325.896936933912,177.3,174.7463561159602,179.85364388403983,688.6666666666666,682.5236683737413,694.8096649595919,8.9,4.442417474234183,13.357582525765817,0.0,0.0,0.0,12.0,12.0,12.0,58.22940312438099,57.343005783545976,59.115800465216,0.012939867360973556,0.01274289017412133,0.013136844547825781,0.002917132256428414,0.0028333189113131005,0.0030009456015437272,19.0,19.0,19.0
DualControl,26188.04771371616,24598.87191355985,27777.22351387247,386.76666666666665,374.86456549980045,398.66876783353285,0.0,0.0,0.0,0.0,0.0,0.0,49.86666666666667,49.73756302448786,49.99577030884547,447.43333333333334,443.9185747925246,450.94809187414205,78.86666666666666,40.75052430803812,116.9828090252952,19.06896551724138,1.6526290170770999,36.48530201740566,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0
SPI_HCPI,28837.283096422976,28325.416178088217,29349.150014757735,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.786063116986332,10.013936883013669,19.166666666666668,18.761359990465348,19.571973342867988,78.0,-73.16544397775385,229.16544397775385,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0
Greedy,28870.018507567893,28841.72749937094,28898.309515764846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,5.0,5.0,5.0,,,,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0
ConstrainedBandit,29574.209634408082,28779.97307583969,30368.446192976473,242.7,236.32138101790574,249.07861898209424,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,339.2,335.5672308177187,342.83276918228125,120.0,-7.25806541487367,247.25806541487367,77.75,26.297268579613913,129.2027314203861,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0
